ICD10;AirP;AQHI;SA;CO;SC;O3;SO;PM2.5;SP;AQHIX;SX;NO2;SN;O3H8;SH;SO2;SS;LAG
C00 - D48;Cold Male;0.030517338;0.009585449;-0.01606351;0.06888668;-6.23E-03;1.22E-03;0.001248512;0.001074133;3.22E-02;6.59E-03;5.32E-03;9.51E-04;-0.000699499;0.001066333;-0.003182301;0.004965081;1
C00 - D48;Age 0-10 All;0.05589462;0.03270429;0.3424383;0.2805997;-0.000858895;0.004123858;0.004180562;0.004108082;0.04055295;0.02217296;0.007605445;0.003855142;0.001952801;0.002622627;-0.03112764;0.02054602;1
C00 - D48;Age 0-10 Female;0.01598147;0.04175069;0.3602244;0.3491709;-0.00975798;0.005161781;0.00495519;0.005155363;0.0165746;0.02846006;0.005825506;0.004954374;-0.002165451;0.003299669;-0.00043771;0.025196444;1
C00 - D48;Age 0-10 Male;0.09322109;0.03902199;0.336822;0.3428447;0.007608578;0.005035371;0.003548515;0.004979437;0.06309536;0.0263541;0.0094626;0.004577009;0.005904251;0.00318052;-0.06037513;0.02558151;1
C00 - D48;Age 11-60 All;0.015918219;0.008304286;-0.03022642;0.07391363;-0.001356154;0.001010838;0.000641102;0.001034317;0.01623841;0.005656227;0.003120835;0.000987089;0.000700293;0.000658869;0.002554564;0.005114844;1
C00 - D48;Age 11-60 Female;0.012678736;0.009074974;-0.05601713;0.08058798;-0.001171672;0.001106009;0.000391304;0.00112944;0.013373399;0.006185204;0.002605053;0.001079425;0.000546297;0.00072038;0.003504957;0.005596478;1
C00 - D48;Age 11-60 Male;0.02146887;0.01031365;0.01394923;0.09216337;-0.001659519;0.001252879;0.001072541;0.001286201;0.021106582;0.007018729;0.003995502;0.001224877;0.000963687;0.000817631;0.000940671;0.006338594;1
C00 - D48;Age 60+All;0.026711323;0.00797399;0.12558923;0.07086431;-0.001755336;0.000967201;0.001508818;0.000992853;2.39E-02;5.43E-03;4.74E-03;9.50E-04;0.000873497;0.000629375;0.001774213;0.004962138;1
C00 - D48;Age 60+ Female;0.029763644;0.009112955;0.17308039;0.08079514;-0.002473655;0.001104631;0.002076085;0.001132597;2.71E-02;6.21E-03;5.38E-03;1.09E-03;0.000971001;0.000720664;0.001736465;0.005697333;1
C00 - D48;Age 60+ Male;0.02421283;0.008872002;0.08615106;0.07898286;-0.001160338;0.001076425;0.001040663;0.001106055;0.021298812;0.00604471;4.21E-03;1.06E-03;0.000794382;0.000699007;0.001818391;0.005498513;1
C00 - D48;All: LAG2;0.017342509;0.007554059;0.05409447;0.06587439;-0.001127957;0.000903523;0.001425566;0.000937275;0.014209203;0.005176434;0.002870507;0.00090247;0.000441425;0.000597259;0.004669937;0.004628366;2
C00 - D48;Female;0.01434337;0.0080757;0.06702645;0.07025567;-0.001866449;0.000965821;0.001165765;0.001002441;0.013774493;0.005527501;0.002954622;0.000962666;0.000239239;0.000638793;0.007705839;0.00494412;2
C00 - D48;Male;0.02069188;0.00828781;0.03980596;0.07245753;-0.000304562;0.000991038;0.001716796;0.001027776;0.014684521;0.005686589;0.002774896;0.000992558;0.000664644;0.000654884;0.001298658;0.005081219;2
C00 - D48;Warm All;0.0212892;0.00638332;3.36E-01;7.25E-02;0.001702724;0.000732518;0.001388022;0.00089677;0.01649131;0.004334063;0.00294717;0.000955762;0.001518403;0.000422021;0.005814814;0.004881909;2
C00 - D48;Warm Female;0.019748218;0.007008887;3.92E-01;7.94E-02;0.00038017;0.000806405;0.001226453;0.00098488;0.017920794;0.004753;0.004021871;0.0010457;0.001248813;0.000463849;0.010749749;0.005342628;2
C00 - D48;Warm Male;0.022995115;0.007164926;0.273072821;0.081669987;0.003165489;0.000819115;0.00156751;0.001005935;0.014880144;0.004871012;0.001736243;0.001076384;0.001817075;0.000473138;0.00028142;0.005496297;2
C00 - D48;Cold All;0.016423395;0.008885542;-0.06161713;0.06292575;-5.64E-03;1.12E-03;0.002121678;0.000985499;0.013917341;0.006151513;0.003105861;0.000882403;-0.003046913;0.001012254;0.005216069;0.004503484;2
C00 - D48;Cold Female;0.011995773;0.009331425;-0.0669794;0.06602112;-5.67E-03;1.18E-03;0.001805434;0.001035584;0.011523949;0.006451546;0.002755361;0.000925644;-0.003110556;0.00106217;0.007531752;0.004733075;2
C00 - D48;Cold Male;0.02134407;0.00960141;-0.05552857;0.06807221;-5.60E-03;1.21E-03;0.002473574;0.001064248;0.016569855;0.006656965;0.003496033;0.000954759;-0.00298356;0.001095117;0.002627441;0.004861608;2
C00 - D48;Age 0-10 All;0.05850825;0.03327902;0.1601462;0.2771984;0.001682151;0.004092302;0.006373943;0.004042705;0.03849507;0.02288118;0.005280365;0.00391536;0.003824003;0.002679426;-0.01835734;0.01935428;2
C00 - D48;Age 0-10 Female;0.01856535;0.0415846;0.3113115;0.3464856;-0.00623971;0.005026117;0.002896839;0.005062477;0.01302853;0.02872088;0.005385443;0.004963865;-0.002585546;0.00328317;0.01399187;0.02342946;2
C00 - D48;Age 0-10 Male;0.09756978;0.04045723;0.0206125;0.3376806;0.009691465;0.005071506;0.009544909;0.00491625;0.06302326;0.02769456;0.005473555;0.004703072;0.010323339;0.003331153;-0.05007746;0.02432314;2
C00 - D48;Age 11-60 All;0.012456613;0.008371192;0.000302221;0.072838042;-0.001143732;0.0010023;0.000810061;0.001040318;0.012355617;0.005728948;0.00235878;0.000997108;0.000536742;0.00066377;0.005711454;0.005080622;2
C00 - D48;Age 11-60 Female;0.007827628;0.009152301;0.001091251;0.079596152;-0.001761642;0.001095948;0.000565929;0.001137766;0.009869028;0.006259271;0.002088953;0.001088349;0.00020497;0.000726347;0.00647968;0.005568508;2
C00 - D48;Age 11-60 Male;0.02031274;0.01038387;-0.001014541;0.090426392;-0.000100187;0.001242629;0.001223802;0.001289746;0.016583702;0.007115073;0.002820708;0.001240382;0.001094713;0.000822121;0.00444343;0.006276084;2
C00 - D48;Age 60+All;0.020435855;0.008011651;0.09250039;0.0700103;-0.001151823;0.000957155;0.001811054;0.000993107;0.015293802;0.005495377;0.003224081;0.000959464;0.000331554;0.000631954;0.004208989;0.004946724;2
C00 - D48;Age 60+ Female;0.020980228;0.009156291;0.13135133;0.07972622;-0.001932954;0.001093667;0.001751699;0.00113522;0.017833402;0.006272116;0.003833361;0.001094373;0.000304994;0.000721877;0.009007581;0.00564962;2
C00 - D48;Age 60+ Male;0.020010514;0.008908262;0.06039506;0.07806907;-0.000507689;0.001064189;0.001864912;0.001103998;0.013194079;0.006116654;0.002720765;0.001068565;0.000352282;0.000702874;0.000282611;0.005501935;2
C00 - D48;All: LAG 3;0.008529072;0.007509327;-0.03185898;0.06545658;-0.000604577;0.000901036;0.001088334;0.00093835;0.003645104;0.005140865;0.001223353;0.000892958;-0.000434573;0.000591187;0.002224446;0.00464939;3
C00 - D48;Female;0.005152612;0.008019647;-0.04955107;0.06997887;-0.000314826;0.000963424;0.000695844;0.001003373;0.001850431;0.0054822;0.000688523;0.000952233;-0.000296966;0.000630977;-0.000771847;0.004983837;3
C00 - D48;Male;0.012318061;0.008247164;-0.0122448;0.07180017;-0.000923358;0.000988173;0.001526308;0.001029129;0.005662611;0.005655186;0.001825105;0.000982285;-0.000588544;0.000649676;0.005537451;0.005084734;3
C00 - D48;Warm All;0.014319304;0.006354225;0.10247251;0.07310768;3.14E-03;7.36E-04;0.001762697;0.000896226;0.004068796;0.004324704;-0.000569888;0.000953566;0.000986847;0.000418143;-0.003001803;0.005029994;3
C00 - D48;Warm Female;0.012717834;0.006976984;0.12866937;0.08010814;0.002800067;0.000810017;0.001454519;0.000985229;0.004871471;0.004737037;-0.000436272;0.001043343;0.001064302;0.000458228;-0.00366306;0.005530814;3
C00 - D48;Warm Male;0.01611606;0.007133245;0.07314774;0.08223874;3.51E-03;8.26E-04;0.002105784;0.001004685;0.00317929;0.004866981;-0.000719515;0.001074374;0.000901542;0.000470417;-0.002269664;0.005635993;3
C00 - D48;Cold All;0.001815363;0.008817951;-0.09691102;0.06200296;-6.05E-03;1.11E-03;0.000963852;0.000980972;0.002716437;0.006099995;0.002061206;0.000872566;-5.42E-03;1.00E-03;0.005224147;0.004458417;3
C00 - D48;Cold Female;-0.00387189;0.009231185;-0.13268892;0.06525783;-4.93E-03;1.17E-03;0.000485572;0.001029105;-0.002494961;0.006383203;0.001193039;0.000914896;-5.20E-03;1.05E-03;0.001128728;0.004700101;3
C00 - D48;Cold Male;0.008333073;0.009561963;-0.05695079;0.06682766;-7.31E-03;1.20E-03;0.001511123;0.001061271;0.008669159;0.006617402;0.003044433;0.000944375;-5.67E-03;1.09E-03;0.009775014;0.00479635;3
C00 - D48;Age 0-10 All;0.06012354;0.03246785;0.1618141;0.2719851;0.001927855;0.004044088;0.007056126;0.003977788;0.04041846;0.0225635;0.005211844;0.003835779;0.004435299;0.00269819;0.006821324;0.019862117;3
C00 - D48;Age 0-10 Female;-0.001300807;0.040641837;0.07509361;0.3518778;-0.005178884;0.005050213;0.001156763;0.005016137;0.008321276;0.02811433;0.002190685;0.004829488;-0.000409019;0.003328633;0.01350764;0.02495851;3
C00 - D48;Age 0-10 Male;0.124229644;0.039590506;0.246379;0.3208223;0.00824263;0.00492087;0.013346692;0.004834202;0.074344911;0.027576202;0.008675461;0.004639444;0.009218686;0.003334525;0.002599894;0.024049844;3
C00 - D48;Age 11-60 All;0.010016476;0.008300128;-0.0416514;0.07229019;-3.37E-05;9.99E-04;0.001275975;0.001035924;0.004087612;0.005680062;0.001028896;0.000984195;-0.000113897;0.000656136;0.002387197;0.005101785;3
C00 - D48;Age 11-60 Female;0.003269356;0.00907284;-0.05431174;0.07906992;-6.57E-05;1.09E-03;0.000779551;0.001133652;-8.16E-05;6.20E-03;0.000190192;0.001074897;-0.000231589;0.000716977;-0.001546264;0.005598587;3
C00 - D48;Age 11-60 Male;0.02143981;0.01029349;-0.02068779;0.08955718;2.36E-05;1.24E-03;0.002109206;0.001282405;0.011152094;0.007054902;0.002453355;0.001222156;8.18E-05;8.14E-04;0.008933488;0.006284752;3
C00 - D48;Age 60+All;0.006817348;0.007980401;-0.0271378;0.06963671;-0.001048466;0.000954631;0.000872582;0.000998354;0.002895056;0.005463828;0.001321533;0.000951039;-0.000720422;0.000625927;0.002049841;0.004968803;3
C00 - D48;Age 60+ Female;0.00732349;0.00910849;-0.04588705;0.07958846;-0.000503125;0.001090621;0.00061661;0.001141378;0.003845723;0.006224433;0.001200986;0.001083916;-0.000354494;0.000713056;-3.14E-05;5.70E-03;3
C00 - D48;Age 60+ Male;0.006456833;0.008882157;-0.01162126;0.07741439;-0.001492949;0.001061563;0.0010884;0.001109641;0.002135402;0.006090581;0.001425874;0.001059804;-0.001021703;0.000697699;0.003788892;0.005504015;3
C00 - D48;All: LAG 4;0.004341825;0.007557122;-0.05276825;0.0648569;-4.16E-05;8.99E-04;0.000718978;0.000951739;-0.000293006;0.005159443;0.000388328;0.00089899;-0.000488808;0.000588284;0.000618885;0.004657774;4
C00 - D48;Female;0.000427326;0.008077976;-0.1004704;0.06926258;0.000407053;0.000960391;0.000225433;0.001018085;-0.003790435;0.005510631;-0.000292846;0.000959277;-0.00061543;0.000629114;-9.07E-05;4.99E-03;4
C00 - D48;Male;0.008694536;0.008290637;0.000429007;0.071224881;-0.000542237;0.000987901;0.001267772;0.001043318;0.003607764;0.005664944;0.001151043;0.000988069;-0.000348001;0.00064509;0.00140187;0.005095131;4
C00 - D48;Warm All;0.017050337;0.006235273;0.08020168;0.0716938;0.002691662;0.000737776;0.003123206;0.000878557;0.003048875;0.004275682;-0.000135624;0.000938154;0.000598901;0.000416046;-0.001998064;0.00500368;4
C00 - D48;Warm Female;0.011681446;0.006862607;0.01650292;0.07867725;0.002128725;0.000810764;0.002448202;0.000968402;-0.00029734;0.004696121;-0.000579739;0.001029314;0.000220922;0.000457345;-0.003014739;0.005507485;4
C00 - D48;Warm Male;0.022974574;0.006979319;0.15087879;0.08049359;3.32E-03;8.28E-04;3.87E-03;9.82E-04;0.006766048;0.004795591;0.000359641;0.001053537;0.001017508;0.000466223;-0.00089805;0.005599647;4
C00 - D48;Cold All;-0.01004361;0.00915476;-0.10909777;0.06165431;-0.004172004;0.001104203;-0.000854101;0.001016099;-0.002532053;0.006258462;0.000922826;0.000889869;-4.15E-03;1.01E-03;0.0033793;0.004482588;4
C00 - D48;Cold Female;-0.011822554;0.009579388;-0.14805052;0.06465791;-0.002295535;0.001158142;-0.001166398;0.001064902;-0.006335174;0.006550403;0.000106357;0.000932087;-0.003387894;0.001054374;0.002897414;0.004719906;4
C00 - D48;Cold Male;-0.008085827;0.009935156;-0.06575466;0.06674377;-6.28E-03;1.19E-03;-0.000505084;0.001100732;0.001707699;0.006789445;0.001837187;0.000964427;-5.01E-03;1.09E-03;0.003913962;0.004830476;4
C00 - D48;Age 0-10 All;0.0558561;0.03286217;0.1809846;0.2710583;-0.005017019;0.004018416;0.007943743;0.004019424;0.04200474;0.02260384;0.007844348;0.003844261;0.001619484;0.002612987;0.03030427;0.01967722;4
C00 - D48;Age 0-10 Female;-0.01109662;0.04073918;-0.4119706;0.3503452;-0.008253944;0.005028124;0.000153107;0.004995123;-0.001312428;0.027919135;0.002772235;0.00480027;-0.003340691;0.003229688;-0.01510296;0.02529113;4
C00 - D48;Age 0-10 Male;0.121660467;0.040481401;0.67425104;0.32189062;-0.001736552;0.004882117;0.015678231;0.004944247;0.083924205;0.027939306;0.012438987;0.004690754;0.006415649;0.003224924;0.071425204;0.023393252;4
