ICD10;AirP;AQHI;SA;CO;SC;O3;SO;PM2.5;SP;AQHIX;SX;NO2;SN;O3H8;SH;SO2;SS;LAG
C00 - D48;Cold Female;0.008063389;0.009635564;0.14339235;0.06558498;-0.000500935;0.001182412;0.001189205;0.001055603;0.00622904;0.006596296;0.000587002;0.000964733;0.001108459;0.000989047;-0.007793862;0.004536409;12
C00 - D48;Cold Male;0.001596268;0.010007625;0.07891472;0.06832378;-0.000619216;0.001222294;0.001461416;0.00109553;0.000574697;0.006835288;-0.00023921;0.001000881;0.000886205;0.001020297;-0.004260147;0.00470435;12
C00 - D48;Age 0-10 All;-0.01274155;0.03316655;0.1360376;0.284451;-0.005059058;0.003994379;-0.001450965;0.004059015;-0.003164749;0.023078049;0.001814058;0.004020116;-0.002594942;0.002592972;0.01276501;0.01883875;12
C00 - D48;Age 0-10 Female;0.01400942;0.04078503;0.1028751;0.353438;-0.004674031;0.004995286;-0.001251163;0.004990206;0.0269565;0.02838563;0.006100203;0.004971498;0.000200546;0.003200061;0.02802568;0.02308174;12
C00 - D48;Age 0-10 Male;-0.0401365;0.04103315;0.183471;0.3487503;-0.005622854;0.004854676;-0.001766496;0.005021944;-0.03261557;0.02857473;-0.00229373;0.004947462;-0.00527339;0.003197117;-0.001542759;0.023324225;12
C00 - D48;Age 11-60 All;0.003509748;0.008458146;0.08754147;0.0740216;-0.000237943;0.000996557;0.001016767;0.001052246;0.003460466;0.005792989;0.000221159;0.001018167;0.000604478;0.000651672;-0.00404007;0.004914438;12
C00 - D48;Age 11-60 Female;0.005610375;0.009233339;0.12709381;0.08038594;-0.000304325;0.001089785;0.001103552;0.001147205;0.004272299;0.00633037;0.000566251;0.001110229;0.000442662;0.000713608;-0.005445105;0.005358729;12
C00 - D48;Age 11-60 Male;-4.70256E-05;0.0105333;0.01845054;0.09302395;-0.000126031;0.001237378;0.000871839;0.001313422;0.002099845;0.007201897;-0.000368388;0.001270348;0.000877796;0.000807308;-0.001610219;0.006131939;12
C00 - D48;Age 60+All;0.00094324;0.008131912;0.08001284;0.07113993;-0.001098971;0.000951507;0.001102555;0.001014225;0.002056036;0.005565989;0.0003017;0.000982952;0.000189429;0.000620909;-0.003494137;0.004775214;12
C00 - D48;Age 60+ Female;-0.000256957;0.009299771;0.11748831;0.08110872;-0.001385617;0.001085238;0.000626469;0.001159732;0.003542533;0.006363193;0.000531528;0.001123643;0.000309042;0.00070928;-0.007133524;0.005479135;12
C00 - D48;Age 60+ Male;0.001946321;0.009036437;0.04860679;0.07926261;-0.000856269;0.001059826;0.001497808;0.001127212;0.000828087;0.006186679;0.000110798;0.001092664;9.13E-05;6.91E-04;-0.000506248;0.0052915;12
C00 - D48;All: LAG 13;-0.006682807;0.007565281;-0.05426716;0.06833393;0.001154555;0.000917237;0.000775846;0.000936503;-0.007087116;0.005169243;-0.00221339;0.000907608;0.000610097;0.000586813;-0.007886376;0.004410246;13
C00 - D48;Female;-0.008604858;0.00807572;-0.04142354;0.07280049;0.00083873;0.00097975;0.000335093;0.001000791;-0.007341155;0.005519389;-0.00211553;0.000968678;0.000448187;0.000627428;-0.006134534;0.00470182;13
C00 - D48;Male;-0.004519637;0.008313131;-0.06886713;0.0752553;0.001506238;0.001007234;0.001271353;0.001027819;-0.006798882;0.005678857;-0.002322138;0.000997642;0.000790218;0.000643675;-0.009861978;0.004853474;13
C00 - D48;Warm All;0.002417057;0.006314756;-0.08803737;0.07555594;0.00051644;0.000744228;0.001544052;0.000872667;-0.000814921;0.004309552;-0.000828775;0.000921705;0.000296969;0.000425025;-0.002532263;0.004659225;13
C00 - D48;Warm Female;-0.003329184;0.006932269;-0.0621284;0.08261017;0.000139987;0.000815492;0.000664732;0.000960803;-0.003129001;0.004728253;-0.001354377;0.001011893;0.000152652;0.000466283;0.000241249;0.005125667;13
C00 - D48;Warm Male;0.00882452;0.00709082;-0.11691181;0.08523013;0.000933739;0.000837516;0.002514934;0.00097691;0.001784139;0.004842734;-0.000237355;0.001035017;0.000457737;0.000477669;-0.005530326;0.005219882;13
C00 - D48;Cold All;-0.010407139;0.008930809;-0.01797621;0.06470157;0.001759959;0.001135972;0.000154559;0.00098464;-0.007083792;0.006166264;-0.002016068;0.000909749;0.00216564;0.000905121;-0.00947186;0.004288194;13
C00 - D48;Cold Female;-0.008141482;0.009348613;-0.008408453;0.067827211;0.001366429;0.001193698;0.000093549;0.001031591;-0.005138225;0.00646178;-0.001561144;0.000953705;0.001825559;0.000950783;-0.008130696;0.00448531;13
C00 - D48;Cold Male;-0.013003072;0.009698568;-0.02905149;0.07014359;0.002194152;0.001228232;0.000228803;0.00106821;-0.009312635;0.006687816;-0.00253247;0.000986304;0.002541982;0.000979177;-0.011018318;0.004661701;13
C00 - D48;Age 0-10 All;-0.03838826;0.03319089;-0.60298673;0.30223406;0.005331857;0.00411055;-0.006931437;0.004111166;-0.02239224;0.02306604;-0.005964578;0.004033734;0.000929359;0.002652239;-0.004165661;0.019067699;13
C00 - D48;Age 0-10 Female;-0.08358183;0.04180638;-1.345200081;0.383532728;0.01082617;0.005150769;-0.014110469;0.005236408;-0.05047116;0.02883049;-0.013211821;0.005079157;0.001726287;0.003346462;-0.02489927;0.02454211;13
C00 - D48;Age 0-10 Male;0.006353923;0.04011181;0.1348068;0.3660889;0.000236497;0.004995246;-3.50E-06;4.91E-03;0.006625878;0.02807256;0.001047166;0.004880094;0.000518116;0.003197306;0.01569884;0.02262442;13
C00 - D48;Age 11-60 All;0.002465966;0.008364457;-0.02275055;0.07560008;0.001671526;0.001017482;0.001987735;0.001032207;-0.001504771;0.005725646;-0.001600288;0.001003214;0.001343586;0.000651695;-0.00503274;0.004833674;13
C00 - D48;Age 11-60 Female;0.004507835;0.009118706;0.03860984;0.08226178;0.001683677;0.001111606;0.002197657;0.001126581;-0.000877063;0.006244983;-0.001362028;0.001093709;0.001241919;0.000711921;-0.001794772;0.005270348;13
C00 - D48;Age 11-60 Male;-0.000972405;0.010434636;-0.12903089;0.09460665;0.001651644;0.00126494;0.001636783;0.001285558;-0.002528286;0.007136621;-0.002002351;0.001251477;0.001521653;0.000810431;-0.01050495;0.00602893;13
C00 - D48;Age 60+All;-0.01304744;0.008042166;-0.07076226;0.07261919;0.000729209;0.000972681;-3.22E-05;9.98E-04;-0.01099586;0.005487019;-0.00262095;0.000965076;7.47E-05;6.22E-04;-0.010145582;0.004720778;13
C00 - D48;Age 60+ Female;-0.021112505;0.009198882;-0.10672747;0.08288981;-0.000129214;0.001110678;-0.001406206;0.001143251;-0.013388518;0.006274804;-0.002753735;0.001103868;-0.000362151;0.000710985;-0.010500164;0.005398158;13
C00 - D48;Age 60+ Male;-0.006366247;0.008933495;-0.04103708;0.0808024;0.001447349;0.001081898;0.001105509;0.001106815;-0.009019842;0.006097066;-0.002512986;0.001072266;0.000436889;0.00069046;-0.009848371;0.005246017;13
C00 - D48;All: LAG 14;-0.010605028;0.007541235;-0.0522613;0.06920877;0.001637522;0.000922061;0.000538851;0.000924727;-0.01140105;0.00513187;-0.002985241;0.00089568;0.000402429;0.000593109;-0.006104752;0.004415622;14
C00 - D48;Female;-0.012098356;0.008051204;-0.0293857;0.07371658;0.001295282;0.000985221;0.000301143;0.000987529;-0.011146401;0.005482137;-0.002914243;0.000956555;0.000389046;0.000633688;-0.006188048;0.00470896;14
C00 - D48;Male;-0.008884532;0.008284074;-0.07793394;0.07622349;0.002026308;0.001012057;0.000811786;0.001015515;-0.01166448;0.00563417;-0.003063822;0.000983783;0.00042177;0.000651009;-0.006003711;0.004856793;14
C00 - D48;Warm All;-0.004105825;0.006379576;-0.0928203;0.07473314;0.000818856;0.000755366;0.000753407;0.000865531;-0.002004337;0.004300544;-0.002121102;0.000899814;0.000844371;0.000433611;0.001303683;0.00461739;14
C00 - D48;Warm Female;-0.007061754;0.006996955;-0.11777662;0.08179811;0.000788352;0.000826283;0.000301013;0.000950913;-0.002626882;0.004717455;-0.002510986;0.000986654;0.000950272;0.00047518;0.002833946;0.005077545;14
C00 - D48;Warm Male;-0.000747391;0.007167778;-0.06435393;0.08415865;0.000863165;0.000851428;0.001266831;0.000970767;-0.001273924;0.0048315;-0.001686755;0.001011416;0.000733417;0.0004878;-0.000391953;0.00517366;14
C00 - D48;Cold All;-0.012552296;0.008747286;-0.02210046;0.06621752;0.002594766;0.001126512;0.000409173;0.000969848;-0.017246859;0.006060441;-0.002770496;0.000899403;-0.000225457;0.000891851;-0.009356172;0.004316377;14
C00 - D48;Cold Female;-0.01247693;0.00916847;0.02489073;0.06930222;0.001723358;0.001185923;0.000357057;0.001016412;-0.015891547;0.006358599;-0.002405809;0.00094424;-0.000584646;0.000936337;-0.010324954;0.004518154;14
C00 - D48;Cold Male;-0.012616907;0.009484984;-0.0755228;0.07191281;0.003566309;0.001215422;0.000469008;0.001051719;-0.018766131;0.006564929;-0.003179157;0.000973578;0.000178494;0.000965216;-0.008236357;0.004688215;14
C00 - D48;Age 0-10 All;-0.01627035;0.03311392;-0.4078645;0.2965562;0.004507744;0.00401736;-0.003183275;0.004119186;0.001632445;0.022635267;-0.003667065;0.003920745;0.004514249;0.00261706;0.009087236;0.018661776;14
C00 - D48;Age 0-10 Female;-0.02941945;0.04144831;-0.79495464;0.37571133;0.008945247;0.004962725;-0.001922634;0.005216668;-0.01514523;0.02834321;-0.009274466;0.004943241;0.006288239;0.003225093;-0.002183501;0.023864375;14
C00 - D48;Age 0-10 Male;-0.000999534;0.040240669;-0.01930581;0.35820031;-0.000195238;0.004959906;-0.003636492;0.004962903;0.01845875;0.02750945;0.001823094;0.004741011;0.002662919;0.003235469;0.0199671;0.02224653;14
C00 - D48;Age 11-60 All;-0.005260431;0.008334399;-0.01345921;0.07659173;0.001828959;0.001022427;0.00123312;0.001020273;-0.007519672;0.0056743;-0.002561688;0.000988862;0.000926663;0.000657568;-0.005143354;0.004845205;14
C00 - D48;Age 11-60 Female;-0.005700421;0.009097171;0.05396463;0.08310056;0.001390457;0.001117619;0.001462153;0.001112027;-0.007415244;0.006201418;-0.002505272;0.001079915;0.00088956;0.000719254;-0.002254578;0.005272896;14
C00 - D48;Age 11-60 Male;-0.004468101;0.010381134;-0.1322018;0.0963695;0.002581618;0.001270864;0.000845369;0.001274127;-0.007693075;0.007052761;-0.002658779;0.001231001;0.000991222;0.000816353;-0.010156909;0.006066224;14
C00 - D48;Age 60+All;-0.014527605;0.008020955;-0.07657338;0.0735678;0.001464407;0.0009786;6.45E-05;9.85E-04;-0.014451496;0.005456202;-0.003297514;0.000953611;-3.00E-05;6.29E-04;-0.007044408;0.004724531;14
C00 - D48;Age 60+ Female;-0.018503987;0.009168798;-0.10549101;0.08416674;0.0011;0.001118038;-0.000877405;0.001128135;-0.014963617;0.006236169;-0.003263273;0.001090602;-0.000195625;0.000718485;-0.010442938;0.005415091;14
C00 - D48;Age 60+ Male;-0.011166273;0.008911094;-0.05209599;0.08166745;0.00177523;0.001087721;0.000852724;0.001091753;-0.013997496;0.006063631;-0.003325067;0.001059313;0.000114427;0.000699881;-0.004221466;0.005237089;14
D50 - D89;All: LAG 0;0.024630047;0.006894788;0.12966999;0.06155042;-0.001560067;0.000837796;0.002024201;0.000868329;0.01954765;0.004699768;0.004034042;0.000819796;0.000512108;0.000539346;0.007956242;0.004320431;0
D50 - D89;Female;0.023990344;0.008927677;0.06559871;0.08037006;-0.000826069;0.001090409;0.001834042;0.001121653;0.018248705;0.006100207;0.003615808;0.00106776;0.000670596;0.00069905;0.011721855;0.005591074;0
D50 - D89;Male;0.025443264;0.009965693;0.20950414;0.08795405;-0.002495138;0.001202301;0.002275423;0.001258412;0.02121119;0.006774702;0.004564543;0.001177497;0.000307187;0.000777716;0.003063285;0.006244579;0
D50 - D89;Warm All;0.024792829;0.006493379;0.3783815;0.07645772;-0.000370797;0.000766502;0.001625164;0.000915955;0.02222727;0.004398934;0.005783911;0.000959372;0.001133818;0.000432257;0.01499425;0.005106941;0
D50 - D89;Warm Female;0.02830446;0.008569882;0.327827083;0.101404122;0.000942053;0.001012108;0.001806358;0.00120883;0.020819696;0.005811092;0.005307139;0.001270197;0.001125371;0.000570444;0.02839436;0.006665398;0
D50 - D89;Warm Male;0.020347153;0.009221061;0.4408155;0.1080657;-0.00203168;0.00108633;0.001403893;0.001299491;0.024016846;0.006248166;0.006383453;0.001360391;0.001145861;0.000613618;-0.002584151;0.007345015;0
D50 - D89;Cold All;0.026898967;0.007440801;0.01737702;0.05292831;-0.003568371;0.000944989;0.002838349;0.000834316;0.017107675;0.005120203;0.003147737;0.000729064;-0.001700661;0.000833041;0.004727113;0.003809664;0
D50 - D89;Cold Female;0.022225748;0.009458237;-0.05483098;0.067979;-0.003763119;0.001214008;0.002442904;0.001057799;0.01696603;0.0065318;0.002874835;0.000933493;-0.00078075;0.001062299;0.003396763;0.004869962;0
D50 - D89;Cold Male;0.033019432;0.010949161;0.10832441;0.07674079;-0.003368103;0.001372224;0.003377169;0.00123242;0.01735825;0.007494534;0.003503137;0.001063131;-0.00288115;0.001219612;0.006296841;0.005559311;0
D50 - D89;Age 0-10 All;0.03641819;0.0273014;0.2007199;0.2383827;-0.002080982;0.003304178;0.005814398;0.00336726;0.02244967;0.01881421;0.00424142;0.003231454;0.000891248;0.002181215;0.0206475;0.01695553;0
D50 - D89;Age 0-10 Female;0.03578155;0.03716287;0.08352607;0.32901908;-0.003057498;0.004637375;0.003743128;0.004554481;0.03034127;0.02579085;0.005782978;0.0044448;0.001281512;0.003007392;0.03140662;0.0231563;0
D50 - D89;Age 0-10 Male;0.03834867;0.03581148;0.2830887;0.308996;-0.000872915;0.004235553;0.007713499;0.004453989;0.01636333;0.02452225;0.002896383;0.004202331;0.000786864;0.002829035;0.01163894;0.02216386;0
D50 - D89;Age 11-60 All;0.01375653;0.01009447;-0.02479302;0.09074588;-0.000618628;0.00121955;0.000564328;0.001273116;0.012046965;0.006883784;0.002408011;0.00120425;0.000430646;0.000786283;0.006260318;0.00633901;0
D50 - D89;Age 11-60 Female;0.01651247;0.01300564;-0.1329076;0.117281;0.001056902;0.001577779;0.000505604;0.001635275;0.012279719;0.008887597;0.001906688;0.001555227;0.001036958;0.001014956;0.006004882;0.008179181;0
D50 - D89;Age 11-60 Male;0.009490158;0.015582268;0.1338903;0.1393928;-0.003093299;0.001870779;0.000647494;0.001973862;0.01163484;0.01059532;0.003142782;0.001852878;-0.000473648;0.0012103;0.006626648;0.009765697;0
D50 - D89;Age 60+All;0.03206964;0.009362765;0.244448468;0.083195448;-0.002272731;0.001142268;0.002804161;0.001179586;0.02517466;0.006375148;0.005288658;0.001111629;0.000541364;0.00073266;0.007953092;0.005858187;0
D50 - D89;Age 60+ Female;0.02944917;0.01223896;0.23665766;0.11003163;-0.00227002;0.001500019;0.002834733;0.001539193;0.022302458;0.008353247;0.004886776;0.001464416;0.000309686;0.000958094;0.015068566;0.007639802;0
D50 - D89;Age 60+ Male;0.035121159;0.013455482;0.25289215;0.11791223;-0.002274663;0.001631967;0.002764123;0.001698128;0.028519779;0.009138334;0.005740514;0.001584742;0.000817383;0.001051265;-0.000752234;0.008437492;0
D50 - D89;All: LAG 1;0.025849925;0.006958377;0.07087534;0.06137313;-0.000304435;0.000844269;0.002504849;0.000868048;0.017130371;0.004745758;0.00324694;0.000829564;0.000776117;0.000547093;0.01695076;0.004322821;1
D50 - D89;Female;0.029470769;0.008978628;0.1105065;0.0791228;-0.000203032;0.001093586;0.003180474;0.00111676;0.018644436;0.006139029;0.003454352;0.001073482;0.000933164;0.000708738;0.02215394;0.00557903;1
D50 - D89;Male;0.02122215;0.01007059;0.01983167;0.08874524;-0.000429338;0.001213603;0.001624876;0.001259976;0.015257524;0.006845236;0.002987036;0.001196489;0.000586865;0.000786466;0.01027261;0.006254075;1
D50 - D89;Warm All;0.021477803;0.0065594;0.15222186;0.076731;0.0016896;0.000772848;0.002186832;0.000912269;0.013349085;0.004456523;0.002542604;0.000973478;0.00114695;0.000438563;0.0202487;0.00504977;1
D50 - D89;Warm Female;0.026718343;0.008619826;0.1874811;0.1007044;0.002451669;0.001015356;0.002132562;0.001199571;0.017648655;0.005866931;0.003187837;0.001279243;0.001604239;0.000577945;0.02587701;0.006631682;1
D50 - D89;Warm Male;0.014929477;0.009339057;0.1072135;0.1093216;0.000707693;0.0011002;0.002282837;0.001297414;0.008025979;0.006327359;0.001746175;0.001385084;0.000578315;0.000621817;0.0131497;0.007201871;1
D50 - D89;Cold All;0.031091484;0.00750467;0.03912618;0.05255387;-0.003682759;0.000949159;0.002982766;0.000838351;0.02148799;0.005148038;0.003630452;0.000736782;-0.000926589;0.000841711;0.01531766;0.003843197;1
D50 - D89;Cold Female;0.033980686;0.009519487;0.08309221;0.06663806;-0.004677231;0.001213862;0.004423783;0.001058305;0.020386405;0.006546048;0.00369427;0.000938815;-0.001664394;0.001072462;0.02084167;0.004877927;1
D50 - D89;Cold Male;0.02731562;0.01102596;-0.01717043;0.07699586;-0.002422309;0.001378659;0.001091216;0.001237788;0.022864416;0.007540383;0.003538866;0.001077265;1.97242E-05;0.001226322;0.008143026;0.005635721;1
D50 - D89;Age 0-10 All;0.03156147;0.0273847;0.1407184;0.2350952;-8.47277E-05;0.00330597;0.006941827;0.003387687;0.01351499;0.01874823;0.001707079;0.003208686;0.0015209;0.00220329;0.02893259;0.01674;1
D50 - D89;Age 0-10 Female;0.01530411;0.03752592;0.04078568;0.32058577;-0.000365137;0.004635261;0.006895051;0.004541229;-0.005138682;0.026059935;-0.000885664;0.004467052;-0.00027321;0.003071698;0.02498853;0.02258575;1
D50 - D89;Age 0-10 Male;0.04652446;0.03577479;0.2253947;0.3078792;0.000118359;0.004236428;0.007265433;0.004509118;0.02903309;0.024204;0.003843361;0.004135081;0.00300191;0.002837459;0.03261468;0.02211285;1
D50 - D89;Age 11-60 All;0.02527605;0.01017339;0.05555861;0.08963585;-0.00038144;0.001221218;0.002383893;0.001274458;0.017279117;0.006930587;0.003271464;0.001211641;0.000775209;0.000794541;0.012362701;0.006317667;1
D50 - D89;Age 11-60 Female;0.03332227;0.01310381;0.07787783;0.11498628;0.000730897;0.00157781;0.002991032;0.001641398;0.021040067;0.008934593;0.003633756;0.001562226;0.001320895;0.001026185;0.013601776;0.008174739;1
D50 - D89;Age 11-60 Male;0.01375975;0.01570465;0.02421903;0.13914498;-0.00198355;0.001875589;0.001494546;0.001967714;0.01205173;0.01068849;0.002781765;0.001869141;9.3884E-06;0.001220932;0.010711118;0.009689222;1
D50 - D89;Age 60+All;0.025641543;0.009446166;0.07646081;0.08346042;-0.000274825;0.001154201;0.002139977;0.001174706;0.017361034;0.006444517;0.003387671;0.001129215;0.00070325;0.000743675;0.019385073;0.005880777;1
D50 - D89;Age 60+ Female;0.02736466;0.01228273;0.1469848;0.1087999;-0.001056819;0.001506889;0.003045564;0.001521657;0.018500998;0.008405404;0.003675929;0.001472503;0.000676238;0.000972181;0.02934763;0.007629904;1
D50 - D89;Age 60+ Male;0.02357479;0.01363041;-0.008594458;0.119918506;0.000667103;0.001655724;0.001028512;0.001701852;0.01600414;0.0092634;0.003040006;0.001623731;0.0007393;0.001065424;0.007143363;0.008511604;1
D50 - D89;All: LAG2;0.013853809;0.006981893;0.05007688;0.06085771;-0.000759353;0.000837866;0.001832782;0.000869999;0.009010451;0.004766858;0.001851097;0.00083347;0.000247296;0.000546844;0.006714328;0.004330325;2
D50 - D89;Female;0.00712032;0.009026236;0.07330197;0.07853713;-0.00229778;0.001087867;0.00127809;0.001123716;0.006179656;0.006167001;0.001934744;0.00107888;-0.000536498;0.000709513;0.003341294;0.005635639;2
D50 - D89;Male;0.02265462;0.01006538;0.0219863;0.08789241;0.001166332;0.001200002;0.002571877;0.001255925;0.01273755;0.006865179;0.001759537;0.001199557;0.001245724;0.000784128;0.011059157;0.006187583;2
D50 - D89;Warm All;0.012836857;0.006580997;0.197809519;0.075217703;-8.22931E-06;0.00077149;0.002006347;0.000913594;0.008536537;0.004474313;0.002100313;0.000982209;0.000507992;0.000437628;0.007532169;0.005080682;2
D50 - D89;Warm Female;-0.000748996;0.008657211;0.19614155;0.09868535;-0.001373678;0.001016531;-0.000257143;0.001204419;0.003109075;0.005887152;0.0013687;0.001291394;-9.87745E-05;0.000576642;-0.001860072;0.006674126;2
D50 - D89;Warm Male;0.030384132;0.00932085;0.2031635;0.1070063;0.001719934;0.001090048;0.004926289;0.001290326;0.015554538;0.006338198;0.003057137;0.001392893;0.001282491;0.000618569;0.019859606;0.007209957;2
D50 - D89;Cold All;0.016586281;0.007563629;-0.01964345;0.052541;-0.002046465;0.00094256;0.001915166;0.000843374;0.010319858;0.005199889;0.001826315;0.000742527;-0.000811269;0.000852443;0.006715021;0.003844316;2
D50 - D89;Cold Female;0.017997812;0.009588606;0.01087644;0.06665443;-0.003982172;0.001204997;0.00264061;0.001065686;0.010823356;0.006603595;0.002390764;0.000944839;-0.00240532;0.001088982;0.00686843;0.004938715;2
D50 - D89;Cold Male;0.01473181;0.01110414;-0.05889081;0.07701468;0.000374317;0.001367561;0.000966715;0.001243246;0.009635549;0.007614803;0.001099457;0.001084538;0.001196493;0.001238359;0.006615181;0.005548163;2
D50 - D89;Age 0-10 All;0.00081802;0.027811744;-0.1024417;0.2406271;0.001752051;0.003282361;0.003137584;0.003468;-0.0064806;0.01892536;-0.002420291;0.003234425;0.001160043;0.002201146;0.01520368;0.01679082;2
D50 - D89;Age 0-10 Female;-0.04788206;0.03791497;-0.2339186;0.323418;-0.004924139;0.004538573;0.000526377;0.00471646;-0.02901488;0.0258685;-0.005065323;0.004414631;-0.001564581;0.003037555;0.005235385;0.022759404;2
D50 - D89;Age 0-10 Male;0.0411272;0.03651478;0.01920301;0.31899315;0.006597493;0.004255829;0.005487026;0.004555849;0.01162191;0.02474346;-0.00014468;0.004232848;0.003121055;0.002857661;0.02416809;0.02207196;2
D50 - D89;Age 11-60 All;0.02406014;0.01016431;0.09459095;0.08871057;-0.000102626;0.001212817;0.003389192;0.001267237;0.013911705;0.006937269;0.002381647;0.0012152;0.00088392;0.000790097;0.004133167;0.006300207;2
D50 - D89;Age 11-60 Female;0.02162155;0.01313642;0.1356869;0.1142716;-0.000591399;0.001570587;0.002828419;0.001636247;0.011053933;0.008979349;0.002550353;0.001570987;1.15989E-05;0.001025952;-0.005746663;0.008226961;2
D50 - D89;Age 11-60 Male;0.02797959;0.01563211;0.03752647;0.13697358;0.000526358;0.001858833;0.004265069;0.001952291;0.01840776;0.01064467;0.002218812;0.001867533;0.002129095;0.001206343;0.018240772;0.009539567;2
D50 - D89;Age 60+All;0.006888934;0.009487873;0.0289831;0.08266139;-0.001553529;0.001145565;0.000471148;0.001182118;0.00651636;0.006481518;0.001853811;0.00113451;-0.000369706;0.000746608;0.007874657;0.005904264;2
D50 - D89;Age 60+ Female;-0.000631234;0.012352542;0.04660121;0.10768274;-0.00362569;0.001500719;5.74911E-05;0.001537781;0.004965202;0.008437831;0.002036797;0.001479548;-0.000942881;0.000975148;0.011187594;0.007718448;2
D50 - D89;Age 60+ Male;0.0164503;0.01364934;0.0102963;0.118813;0.000934914;0.001634412;0.001013322;0.001702266;0.00864023;0.009325226;0.001655326;0.001628774;0.000351983;0.001069694;0.003975506;0.008450505;2
D50 - D89;All: LAG 3;0.002959189;0.006978769;-0.000251099;0.060655435;-0.000963312;0.000836167;0.00110054;0.000874115;0.000194149;0.004765872;0.000512227;0.000830985;-0.000516804;0.000544254;0.00272164;0.004342059;3
D50 - D89;Female;-0.00232119;0.009059528;0.01985175;0.07857087;-0.002638181;0.001086857;0.001437246;0.001131174;-0.003715906;0.0061829;0.00046594;0.001078612;-0.00143565;0.000707186;-0.000123392;0.005651596;3
D50 - D89;Male;0.009683409;0.010029992;-0.02643836;0.08740768;0.001154583;0.001198968;0.000666879;0.001261477;0.005187073;0.006855023;0.000568267;0.001194522;0.000649419;0.000781081;0.006310867;0.006219896;3
D50 - D89;Warm All;-0.001500158;0.006611273;-0.02231796;0.07626258;0.000427981;0.000773591;0.001114131;0.000927381;-0.003838835;0.004492618;-0.001547252;0.000988711;6.12091E-05;0.000436616;-0.000881093;0.005186706;3
D50 - D89;Warm Female;-0.012197594;0.008733511;-0.1150389;0.1004907;-0.000592305;0.001022018;0.000363191;0.001221645;-0.010993567;0.005930767;-0.002873478;0.001306279;-0.000569537;0.000576415;-0.004631978;0.00683648;3
D50 - D89;Warm Male;0.012287782;0.009348074;0.09748569;0.10819736;0.001733847;0.001093636;0.002122809;0.00131698;0.005336476;0.006358259;0.000152164;0.001398332;0.000868585;0.000617892;0.004015155;0.007356703;3
D50 - D89;Cold All;0.007608901;0.007506015;0.002007678;0.051794234;-0.002693094;0.000937213;0.001148549;0.000836119;0.003839147;0.005178159;0.001382231;0.000737538;-0.002605691;0.000840134;0.004347544;0.003809533;3
D50 - D89;Cold Female;0.01031575;0.00957027;0.06588223;0.06583395;-0.005091429;0.00120008;0.002370934;0.001062053;0.004822786;0.006602121;0.002054213;0.000940788;-0.00433922;0.001078627;0.001792175;0.00488717;3
D50 - D89;Cold Male;0.004228557;0.0109699;-0.08115034;0.07597479;0.000305093;0.001361737;-0.000424597;0.00122751;0.00266126;0.007568182;0.000532988;0.001077309;-0.000439277;0.001218252;0.007543213;0.005526846;3
D50 - D89;Age 0-10 All;0.02765537;0.02798542;0.2127377;0.23593;0.001377654;0.003356003;0.005494805;0.003466124;0.008209669;0.019195888;0.000929086;0.003286453;0.000969517;0.002217918;0.03570248;0.01714861;3
D50 - D89;Age 0-10 Female;0.000433117;0.038214677;0.1613868;0.3180841;-0.005997369;0.004690832;0.005784818;0.00468635;-0.01440051;0.02639564;0.00052077;0.004441342;-0.004450036;0.003125302;0.0550141;0.02245378;3
D50 - D89;Age 0-10 Male;0.04859338;0.03664635;0.2506481;0.3118884;0.0068346;0.004321072;0.005063514;0.004572041;0.02590535;0.02501381;0.001204839;0.004338506;0.004942701;0.002842271;0.01761336;0.0232785;3
D50 - D89;Age 11-60 All;0.000583559;0.010191412;-0.06144838;0.08899487;-0.000259364;0.001217765;0.000225014;0.001284261;-0.00176823;0.006932611;0.000119229;0.001211591;-0.000585115;0.000790452;0.001189516;0.006348455;3
D50 - D89;Age 11-60 Female;0.003133986;0.013164081;-0.04396991;0.11468756;-0.000346765;0.001575434;0.001330487;0.001650562;-0.003899442;0.008958726;4.18391E-05;0.001565375;-0.001030843;0.001024525;-0.001078408;0.00823937;3
D50 - D89;Age 11-60 Male;-0.003043238;0.015698065;-0.08742026;0.13755715;-0.000131247;0.001871636;-0.001389035;0.001992732;0.00132768;0.01067192;0.000232613;0.001865535;5.19314E-05;0.001211689;0.004447034;0.009711532;3
D50 - D89;Age 60+All;0.00253424;0.009461033;0.0272678;0.08216417;-0.00176205;0.00113622;0.001368094;0.001181014;0.001053772;0.006478359;0.000795783;0.001129511;-0.000599911;0.000740099;0.000680178;0.005891062;3
D50 - D89;Age 60+ Female;-0.007022627;0.012408587;0.06344206;0.10755396;-0.004361492;0.00149065;0.00120251;0.001546801;-0.002605519;0.00848227;0.000844512;0.001481817;-0.001553924;0.000968572;-0.004030178;0.00775836;3
D50 - D89;Age 60+ Male;0.01408421;0.01349259;-0.01710389;0.11746236;0.001351273;0.001619066;0.001575547;0.001687745;0.005538329;0.00925866;0.000740404;0.001610634;0.000566721;0.001058188;0.006185827;0.008360506;3
D50 - D89;All: LAG 4;-0.003642381;0.006992618;-0.04310487;0.06035155;-0.000865019;0.000835705;0.00040901;0.000877643;-0.004923856;0.004775362;-0.000277737;0.000832739;-0.00091437;0.000543395;-0.004033053;0.004326421;4
